English Word	English Lemma	Short English Sentence	Long English Sentence	Short Target Sentence	Long Target Sentence
Bet	bet	It's a bet.	I bet Tom won't cry.	Bu bir iddia.	Tom'un ağlamayacağına bahse girerim.
Betrayal	betrayal				
Between	between	I'm between jobs.	Tom is between jobs.	İşsizim.	Tom işsiz.
Beyond	beyond	It's beyond me.	It's beyond reason.	Bu beni aşıyor.	Mantığa aykırı.
Bible	bible	Who wrote the Bible?	It's from the Bible.	İncili kim yazdı?	Bu İncil'den.
Bibliography	bibliography				
Biceps	bicep	His biceps are huge.	His biceps are huge.	Onun pazıları büyük.	Onun pazıları büyük.
Bike	bike	Some bike.	Everyone had a bike.	Bir bisiklet.	Herkesin bisikleti vardı.
Bikini	Bikini				
Bilingual	Bilingual	I'm bilingual.	I grew up bilingual.	Ben iki dil bilenim.	Ben iki dilli büyüdüm.
Bill	bill	Come on, Bill.	Some bills can wait.	Haydi, Bill.	Bazı faturalar bekleyebilir.
Bill	bill	Come on, Bill.	Some bills can wait.	Haydi, Bill.	Bazı faturalar bekleyebilir.
Binder	Binder				
Binoculars	binocular				
Biochemistry	biochemistry				
Biodiversity	biodiversity				
Biography	biography				
Biologist	biologist	I'm a biologist.	She is a biologist.	Ben bir biyoloğum.	O bir biyolog.
Biology	biology	Tom studied biology.	Tom studied biology.	Tom biyoloji okudu.	Tom biyoloji okudu.
Bird	bird	Birds fly.	Tom caught the bird.	Kuşlar uçar.	Tom kuşu yakaladı.
Birth	birth	I use birth control.	I use birth control.	Ben doğum kontrolü kullanıyorum.	Ben doğum kontrolü kullanıyorum.
Birthday	birthday	Happy birthday!	It's Tom's birthday.	İyi ki doğdun!	Bugün Tom'un doğum günü.
Biscuit	biscuit	No more biscuits!	She baked biscuits.	Daha fazla bisküvi yok!	O bisküvileri pişirdi.
Bishop	Bishop	Sami became bishop.	Sami became bishop.	Sami piskopos oldu.	Sami piskopos oldu.
Bison	bison				
Bistro	Bistro				
Bite	bite	Bite me!	Tom's horse bit him.	Hadi oradan!	Tom'un atı onu ısırdı.
Bite	bite	Bite me!	Tom's horse bit him.	Hadi oradan!	Tom'un atı onu ısırdı.
Bitter	bitter	I'm not bitter.	The truth is bitter.	Ben acı değilim.	Gerçekler acıdır.
Bitumen	bituman				
Black	black	Black wins.	Ali drank black tea.	Siyah kazanır.	Ali siyah çay içti.
Blackbird	Blackbird				
Bladder	bladder				
Blades	blade				
Blasphemy	Blasphemy				
Blast	blast	Blast!	I'm having a blast.	Öfkelenme!	Ben harika zaman geçiriyorum.
Blast	blast	Blast!	I'm having a blast.	Öfkelenme!	Ben harika zaman geçiriyorum.
Bleat	bleat	The sheep bleats.	The goat bleated.	Koyun meler.	Keçi meledi.
Bleed	bleed	I'm bleeding!	My foot is bleeding.	Kanıyorum.	Ayağım kanıyor.
Bless	Bless	Bless you!	I feel very blessed.	Çok yaşa!	Çok kutsanmış hissediyorum.
Blinding	blind	I'm blind.	I know Tom is blind.	Ben körüm.	Tom'un kör olduğunu biliyorum.
Blindness	blindness				
Blinker	blinker	Put on your blinker.	Put on your blinker.	Sinyal lambanı tak.	Sinyal lambanı tak.
Blinkers	blinker	Put on your blinker.	Put on your blinker.	Sinyal lambanı tak.	Sinyal lambanı tak.
Blockade	Blockade				
Blood	blood	Donate blood.	It looks like blood.	Kan bağışında bulun!	Kan gibi görünüyor.
Blood	blood	Donate blood.	It looks like blood.	Kan bağışında bulun!	Kan gibi görünüyor.
Blood	blood	Donate blood.	It looks like blood.	Kan bağışında bulun!	Kan gibi görünüyor.
Blue	blue	Is it blue?	My eyes aren't blue.	Mavi mi?	Mavi gözlü değilim.
Blueberry	Blueberry				
Blurry	Blurry				
Boa	boa				
Boar	boar				
Board	board	Go on board.	We boarded the ship.	Gemiye git.	Gemiye bindik.
Boarding	boarding				
Boat	boat	My boat sank.	I'm selling my boat.	Teknem battı.	Ben teknemi satıyorum.
Body	body	No body.	My whole body hurts.	Hiç kimse.	Her yerim ağrıyor.
Body	body	No body.	My whole body hurts.	Hiç kimse.	Her yerim ağrıyor.
Bodyguard	Bodyguard	I'm your bodyguard.	Tom is my bodyguard.	Ben senin korumanım.	Tom benim korumam.
Boil	boil	Boil one egg.	We're boiling water.	Bir yumurta kaynat.	Su kaynatıyoruz.
Boiler	boiler				
Boiling	boil	Boil one egg.	We're boiling water.	Bir yumurta kaynat.	Su kaynatıyoruz.
Bold	Bold	Tom is quite bold.	Tom is quite bold.	Tom oldukça cesaretli.	Tom oldukça cesur.
Bolt	bolt	I bolted the door.	Tom bolted the door.	Kapıyı sürgüledim.	Tom kapıyı sürgüledi.
Bomb	bomb	It's a bomb?	I said I had a bomb.	O bir bomba mı?	Bir bombam olduğunu söyledim.
Bomb	bomb	It's a bomb?	I said I had a bomb.	O bir bomba mı?	Bir bombam olduğunu söyledim.
Bomber	bomber				
Bombing	bombing				
Bombing	bombing				
Bone	bone	Show me the bone.	No bone was broken.	Bana kemiği göster.	Hiçbir kemik kırılmadı.
Book	book	Read a book!	Tom will buy a book.	Kitap oku!	Tom bir kitap satın alacak.
Book	book	Read a book!	Tom will buy a book.	Kitap oku!	Tom bir kitap satın alacak.
Booked	book	Read a book!	Tom will buy a book.	Kitap oku!	Tom bir kitap satın alacak.
Bookstore	bookstore				
Boots	boot	I put boots on.	My boots were muddy.	Çizme giyerim.	Botlarım çamurluydu.
Border	border	Down with borders!	Art has no borders.	Sınırların canı cehenneme!	Sanatın hiçbir sınırı yoktur.
Bored	bored	Bored now.	The youth are bored.	Şu an sıkılıyorum.	Gençler sıkıldı.
Boredom	boredom				
Boring	boring	Boring!	This movie's boring.	Sıkıcı!	Bu film sıkıcı.
Borrow	borrow	I borrowed it.	Tom borrowed my car.	Onu ödünç aldım.	Tom arabamı ödünç aldı.
Borrowing	borrow	I borrowed it.	Tom borrowed my car.	Onu ödünç aldım.	Tom arabamı ödünç aldı.
Boss	boss	I am a boss.	Ziri loves his boss.	Ben bir patronum.	Ziri patronunu seviyor.
Boss	boss	I am a boss.	Ziri loves his boss.	Ben bir patronum.	Ziri patronunu seviyor.
Botanist	Botanist	I'm a botanist.	Tom is a botanist.	Ben bir botanikçiyim.	Tom bir bitki bilimci.
Bottle	bottle	Open the bottle.	She filled a bottle.	Şişeyi aç.	O bir şişe doldurdu.
Bouncer	Bouncer	I work as a bouncer.	I work as a bouncer.	Bar güvenliği olarak çalışıyorum.	Bar güvenliği olarak çalışıyorum.
Bound	bind	Do you bind books?	Tom is bound to win.	Kitapları ciltler misin?	Tom kazanmak zorunda.
Bouquet	bouquet				
Bourgeoisie	bourgeoisie				
Bow	bow	I bowed.	She bowed in thanks.	Eğildim.	Başını eğerek teşekkür etti.
Bow	bow	I bowed.	She bowed in thanks.	Eğildim.	Başını eğerek teşekkür etti.
Bowl	bowl	Do you bowl?	Tom likes to bowl.	Bovling oynar mısın?	Tom bovling oynamayı sever.
Bowl	bowl	Do you bowl?	Tom likes to bowl.	Bovling oynar mısın?	Tom bovling oynamayı sever.
Box	box	Get the box.	I looked in the box.	Kutuyu al.	Kutunun içine baktım.
Boyfriend	boyfriend	I'm your boyfriend.	Tom is my boyfriend.	Erkek arkadaşınım.	Tom benim sevgilim.
Bra	bra	My bra is dirty.	My bra is too small.	Benim sütyenim kirli.	Sütyenim fazla küçük.
Bracelet	bracelet	Put the bracelet on.	Put the bracelet on.	Bileziği tak.	Bileziği tak.
Brain	brain	She has brains.	My brain works fine.	O zekidir.	Benim beynim iyi çalışıyor.
Brakes	brake	She braked.	We've got no brakes!	O, fren yaptı.	Hiç frenimiz yok!
Branch	branch				
Brazil	Brazil	I'm from Brazil.	Mary came to Brazil.	Brezilyalıyım.	Mary Brezilya'ya geldi.
Brazilian	brazilian	I'm Brazilian.	Neymar is Brazilian.	Ben Brezilyalıyım.	Neymar Brezilyalıdır.
Breach	breach				
Bread	bread	I eat bread.	Tom is buying bread.	Ekmek yerim.	Tom ekmek alıyor.
Breadboard	Breadboard				
Break	break	Break it!	The latch is broken.	Kesin şunu!	Mandal bozuk.
Break	break	Break it!	The latch is broken.	Kesin şunu!	Mandal bozuk.
Breakdown	Breakdown	I had a breakdown.	I had a breakdown.	Bir arızam vardı.	Bir arızam vardı.
Breaker	Breaker				
Breakfast	breakfast	Breakfast!	They made breakfast.	Kahvaltı!	Onlar kahvaltı hazırladı.
Breakfast	breakfast	Breakfast!	They made breakfast.	Kahvaltı!	Onlar kahvaltı hazırladı.
Breakout	breakout				
Breakthrough	Breakthrough				
Breast	breast				
Breath	breath	Take a breath.	I was out of breath.	Bir mola verin.	Nefesim tükendi.
Breathe	Breathe	Breathe.	She's not breathing.	Nefes al.	Soluk almıyor.
Breathe	Breathe	Breathe.	She's not breathing.	Nefes al.	Soluk almıyor.
Breed	breed	Hate breeds hate.	Rats breed rapidly.	Nefret nefreti besler.	Fareler hızla ürerler.
Breeding	breeding				
Breeze	breeze				
Bribe	bribe	I bribed them.	Tom can't be bribed.	Onlara rüşvet verdim.	Tom'a rüşvet verilemez.
Bridge	bridge	Cross the bridge.	The bridge exploded.	Köprüyü geç.	Köprü havaya uçtu.
Bridge	bridge	Cross the bridge.	The bridge exploded.	Köprüyü geç.	Köprü havaya uçtu.
Briefcase	briefcase				
Bring	bring	Bring tea.	I brought you water.	Çay getir.	Sana su getirdim.
British	british	I'm British.	Tom is British.	Ben İngilizim.	Tom İngiliz.
Broke	break	Break it!	The latch is broken.	Kesin şunu!	Mandal bozuk.
Bronchitis	bronchitis				
Bronze	bronze				
Brook	brook				
Broom	broom	I need a broom.	Tom brought a broom.	Bir süpürgeye ihtiyacım var.	Tom bir süpürge getirdi.
Brother	brother	Brothers!	Your brother is ill.	Kardeşlerim!	Erkek kardeşin hasta.
Brotherhood	brotherhood				
Brown	Brown	They're brown.	Tom has a brown hat.	Onlar kahverengi.	Tom'un kahverengi bir şapkası var.
Brush	brush	Brush your hair.	They brushed me off.	Saçını fırçala.	Onlar beni atlattı.
Brush	brush	Brush your hair.	They brushed me off.	Saçını fırçala.	Onlar beni atlattı.
Brush	brush	Brush your hair.	They brushed me off.	Saçını fırçala.	Onlar beni atlattı.
Brutal	brutal	It's brutal.	He's brutal.	Bu acımasız.	O acımasız.
Bubble	bubble	Man's but a bubble.	I live in a bubble.	Hayat bir sabun köpüğü gibidir.	Kendi kabuğumda yaşıyorum.
Bucket	Bucket	I need a bucket.	It's bucketing down.	Bir kovaya ihtiyacım var.	Fena yağmur yağıyor.
Buddhism	buddhism				
Buddhist	buddhist	Are you a Buddhist?	Are you a Buddhist?	Bir budist misin?	Bir budist misin?
Budget	budget	What's the budget?	What's your budget?	Bütçe ne?	Bütçen nedir?
Buffalo	Buffalo				
Buffet	Buffet				
Bug	bug	I hate bugs.	Light attracts bugs.	Böceklerden nefret ederim.	Işık, böcekleri çeker.
Build	build	Build it.	Who built this wall?	Onu inşa et.	Bu duvarı kim inşa etti?
Building	building	I own this building.	I own this building.	Bu bina bana ait.	Bu binanın sahibiyim.
Bulb	Bulb				
Bull	bull	The bull is mooing.	Sami drank Red Bull.	Boğa böğürüyor.	Sami, Red Bull içti.
Bulldozer	Bulldozer				
Bullet	bullet	Bite the bullet.	We dodged a bullet.	Sık dişini.	Ucuz atlattık.
Bumper	bumper				
Buoy	buoy				
Bureaucracy	bureaucracy	I hate bureaucracy.	I hate bureaucracy.	Bürokrasiden nefret ederim.	Bürokrasiden nefret ederim.
Burglar	burglar				
Burglary	burglary				
Burial	burial				
Buried	bury	Bury it.	He was buried alive.	Onu göm.	Canlı canlı gömüldü.
Burma	Burma				
Burn	burn	Burn it.	She burned my photo.	Yak onu.	O, fotoğrafımı yaktı.
Burn	burn	Burn it.	She burned my photo.	Yak onu.	O, fotoğrafımı yaktı.
Burnt	burn	Burn it.	She burned my photo.	Yak onu.	O, fotoğrafımı yaktı.
Bus	bus	Take a bus.	I can't drive a bus.	Bir otobüse bin.	Otobüs süremem.
Bush	Bush	I'm bushed.	The bush is burning.	Ben çok yorgunum	Çalı yanıyor.
Bushel	Bushel				
Bust	bust	Tom got busted.	Tom got busted.	Tom yakalandı.	Tom yakalandı.
But	but	But why?	Sorry, but I cannot.	Ama neden?	Üzgünüm ama yapamam.
Butcher	butcher	We're butchers.	Tom is a butcher.	Biz kasaplarız.	Tom bir kasap.
Butcher's	Butcher	We're butchers.	Tom is a butcher.	Biz kasaplarız.	Tom bir kasap.
Butter	butter	Where's the butter?	Where is the butter?	Tereyağ nerede?	Tereyağı nerede?
Butterfly	butterfly	A butterfly!	I love butterflies!	Bir kelebek!	Ben kelebekleri severim!
Buttock	buttock				
Button	button	Button it!	Push the red button.	Sus!	Kırmızı düğmeye bas.
Buy	buy	Buy!	Tom is buying bread.	Satın al!	Tom ekmek alıyor.
Buyer	buyer				
Buyer	buyer				
CEO	ceo	I'm the CEO.	I'm the CEO.	Ben CEO'yum.	Ben CEO'yum.
Cabbage	cabbage				
Cabin	cabin	Is this our cabin?	I have cabin fever.	Bu bizim kabin mi?	Bir mekanda uzun süre kalma korkum var.
Cabin	cabin	Is this our cabin?	I have cabin fever.	Bu bizim kabin mi?	Bir mekanda uzun süre kalma korkum var.
Cabin	cabin	Is this our cabin?	I have cabin fever.	Bu bizim kabin mi?	Bir mekanda uzun süre kalma korkum var.
Cadence	cadence				
Café	café				
Cage	cage	The cage is open.	I unlocked the cage.	Kafes açık.	Ben kafesin kilidini açtım.
Cake	cake	I like cake.	My cake didn't rise.	Ben keki severim.	Benim kekim kabarmadı.
Calcium	calcium				
Calculation	calculation				
Calculator	calculator				
Calendar	calendar	I need a calendar.	I'll buy a calendar.	Bir takvime ihtiyacım var.	Bir takvim alacağım.
Calf	calf				
Calibration	calibration				
Calibration	calibration				
Call	call	Call.	Call in the cavalry.	Ara.	Destek çağırın.
Call	call	Call.	Call in the cavalry.	Ara.	Destek çağırın.
Calmly	calmly	Tom sat calmly.	Tom waited calmly.	Tom sakince oturdu.	Tom sakince bekledi.
Calorie	calorie				
Cambodia	Cambodia				
Camcorder	camcorder				
Camera	camera	Get the camera.	You stole my camera.	Kamerayı al.	Kameramı çaldın.
Cameraman	cameraman	I'm a cameraman.	Ziri is a cameraman.	Ben bir kameramanım.	Ziri kameraman.
Camouflage	camouflage				
Camouflage	camouflage				
Camp	camp	We'll camp here.	Camp ends tomorrow.	Burada kamp kuracağız.	Kamp yarın sona eriyor.
Campaign	campaign				
Camper	Camper				
Camping	camping	I love camping.	Do you like camping?	Kamp yapmayı seviyorum.	Kamp yapmayı sever misin?
Can	can	Can I?	I can't do anything.	Yapabilir miyim?	Hiçbir şey yapamam.
Can	can	Can I?	I can't do anything.	Yapabilir miyim?	Hiçbir şey yapamam.
Can	can	Can I?	I can't do anything.	Yapabilir miyim?	Hiçbir şey yapamam.
Can	can	Can I?	I can't do anything.	Yapabilir miyim?	Hiçbir şey yapamam.
Can-opener	can	Can I?	I can't do anything.	Yapabilir miyim?	Hiçbir şey yapamam.
Canada	Canada	I'm from Canada.	He moved to Canada.	Ben Kanadalıyım.	O, Kanada'ya taşındı.
Canary	canary				
Cancer	cancer	Is it cancer?	I could have cancer.	Kanser mi?	Kanser olabilirim.
Candidate	candidate	Tom is a candidate.	Tom is a candidate.	Tom bir aday.	Tom bir aday.
Canine	canine				
Canned	can	Can I?	I can't do anything.	Yapabilir miyim?	Hiçbir şey yapamam.
Canoe	Canoe	I like canoeing.	We've got a canoe.	Kano yapmayı severim.	Bizim bir kanomuz var.
Canteen	canteen				
Canvas	Canvas				
Cap	cap	Put on your cap.	I have several caps.	Şapkanı giy.	Birkaç şapkam var.
Cap	cap	Put on your cap.	I have several caps.	Şapkanı giy.	Birkaç şapkam var.
Cap	cap	Put on your cap.	I have several caps.	Şapkanı giy.	Birkaç şapkam var.
Capable	capable	You're capable.	Tom is very capable.	Yeteneklisin.	Tom çok yetenekli.
Cape	cape				
Capillary	capillary				
Capital	capital	We need capital.	We need capital.	Bizim sermayeye ihtiyacımız var.	Bizim sermayeye ihtiyacımız var.
Capital	capital	We need capital.	We need capital.	Bizim sermayeye ihtiyacımız var.	Bizim sermayeye ihtiyacımız var.
Capital	capital	We need capital.	We need capital.	Bizim sermayeye ihtiyacımız var.	Bizim sermayeye ihtiyacımız var.
Capitalist	capitalist				
Capsule	capsule				
Captain	captain	I'm the captain.	Tom will be captain.	Ben kaptanım.	Tom kaptan olacak.
Captain	captain	I'm the captain.	Tom will be captain.	Ben kaptanım.	Tom kaptan olacak.
Car	car	Some car.	Tom has a black car.	Bir araba.	Tom'un siyah bir arabası var.
Carafe	Carafe				
Caramel	caramel				
Caravan	Caravan				
Caravan	Caravan				
Caravel	caravel				
Carcass	carcass				
Carcinogenic	carcinogenic				
Card	card	Take a card.	Deal the cards, Tom.	Bir kart al.	Kartları dağıt Tom.
Cardboard	Cardboard				
Cardinal	Cardinal				
Career	career	Sami had a career.	Sami had a career.	Sami'nin bir kariyeri oldu.	Sami'nin bir kariyeri oldu.
Carefree	carefree	She is carefree.	She is carefree.	O kaygısızdır.	O kaygısızdır.
Careful	careful	I'm careful.	Be careful with Tom.	Ben dikkatliyim.	Tom'a dikkat et.
Carefully	carefully	Look carefully.	Unwrap it carefully.	Dikkatli bak.	Bunu dikkatli şekilde aç.
Careless	careless	I was careless.	I was very careless.	Dikkatsizdim.	Ben çok dikkatsizdim.
Carelessly	Carelessly				
Caretaker	Caretaker	Tom is a caretaker.	Tom is a caretaker.	Tom bir kapıcıdır.	Tom bir kapıcıdır.
Cargo	cargo	It's a cargo ship.	It's a cargo ship.	Bu bir kargo gemisi.	Bu bir kargo gemisi.
Caricature	caricature				
Caricaturist	caricaturist				
Carnival	carnival				
Carp	carp	Stop carping!	Stop carping!	Yakınmayı bırak.	Yakınmayı bırak.
Carpenter	carpenter	I'm a carpenter.	Tom was a carpenter.	Ben marangozum.	Tom bir marangozdu.
Carpenter	carpenter	I'm a carpenter.	Tom was a carpenter.	Ben marangozum.	Tom bir marangozdu.
Carrot	carrot	I love carrots!	Do you like carrots?	Havucu severim.	Havuç sever misin?
Cartridge	Cartridge				
Cascade	cascade				
Case	case	This is the case.	Who'll try the case?	Durum budur.	Davaya kim bakacak?
Case	case	This is the case.	Who'll try the case?	Durum budur.	Davaya kim bakacak?
Cashier	cashier	I paid the cashier.	I paid the cashier.	Ben kasiyere ödedim.	Ben kasiyere ödedim.
Cast	cast	The die is cast.	We cast our ballots.	Ok yaydan çıktı.	Oyumuzu kullanıyoruz.
Castle	Castle	I like castles.	I saw Osaka Castle.	Kaleleri severim.	Osaka Kalesi'ni gördüm.
Castle	Castle	I like castles.	I saw Osaka Castle.	Kaleleri severim.	Osaka Kalesi'ni gördüm.
Cat	cat	Cat!	The cats have fleas.	Kedi!	Kedilerde pire var.
Catapult	Catapult				
Catastrophe	catastrophe				
Catch	catch	Catch it!	Catch us if you can.	Yakala!	Bizi sıkıysa yakala.
Categorization	categorization				
Category	category				
Caterpillar	caterpillar				
Catfish	catfish	Sami had a catfish.	Sami had a catfish.	Sami'nin bir yayın balığı vardı.	Sami'nin bir kedi balığı vardı.
Catholic	catholic	I'm not Catholic.	Aren't you Catholic?	Katolik değilim.	Sen Katolik değil misin?
Catholicism	catholicism				
Cattle	Cattle	I rear cattle.	We have ten cattle.	Ben sığır yetiştiririm.	On tane sığırımız var.
Cauliflower	cauliflower	I like cauliflower.	I like cauliflower.	Karnabaharı severim.	Karnabaharı severim.
Cause	cause	I caused this.	What a worthy cause!	Buna ben sebep oldum.	Ne kadar değerli bir amaç!
